full name, email, phone
Abraham Lincoln, abraham.lincoln@example.com, +1234567890
George Washington, george.washington@example.com, +1234567891
Thomas Jefferson, thomas.jefferson@example.com, +1234567892
James Madison, james.madison@example.com, +1234567893
James Monroe, james.monroe@example.com, +1234567894
John Quincy Adams, john.quincy.adams@example.com, +1234567895
Andrew Jackson, andrew.jackson@example.com, +1234567896
Martin Van Buren, martin.van.buren@example.com, +1234567897
William Henry Harrison, william.henry.harrison@example.com, +1234567898
John Tyler, john.tyler@example.com, +1234567899
James K. Polk, james.k.polk@example.com, +1234567890
Zachary Taylor, zachary.taylor@example.com, +1234567891
Millard Fillmore, millard.fillmore@example.com, +1234567892
Franklin Pierce, franklin.pierce@example.com, +1234567893
